gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NEW_TENURE_YEAR,NEW_Engaged,NEW_noProt,NEW_Young_Not_Engaged,NEW_TotalServices,NEW_FLAG_ANY_STREAMING,NEW_FLAG_AutoPayment,NEW_AVG_Charges,new_sex_cat
Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.5,1916.2,No,1-2 Year,0,1,1,4,1,1,95.33333090407338,youngfemale
Male,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35,Yes,0-1 Year,0,1,1,2,0,0,68.49999861283736,youngmale
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.45,75.45,Yes,0-1 Year,0,0,1,1,0,0,68.5909063165838,youngmale
Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.4,4613.95,No,4-5 Year,0,0,1,3,1,1,93.97047240962321,youngfemale
Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,No,5-6 Year,1,1,0,5,1,1,100.7108183079057,youngfemale
Female,0,Yes,No,46,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,53.1,2459.8,No,3-4 Year,0,0,1,2,0,0,53.35791862967733,youngfemale
Male,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.85,2048.8,No,1-2 Year,0,1,1,3,0,1,85.01245015884335,youngmale
Female,0,Yes,Yes,5,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,34.25,163.55,No,0-1 Year,0,1,1,2,0,0,32.06862804936428,youngfemale
Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),88.6,2888.7,No,2-3 Year,0,1,1,4,0,1,87.2719018480929,youngfemale
Female,0,No,No,42,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),60.15,2421.6,No,3-4 Year,1,1,0,3,0,1,57.52019234337886,youngfemale
Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.95,2292.75,No,1-2 Year,1,1,0,5,1,1,99.25324675324674,youngmale
Male,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.7,553.4,No,0-1 Year,0,0,1,1,0,1,68.32099066840279,youngmale
Male,0,No,No,66,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,54.8,3465.7,No,5-6 Year,1,1,0,3,0,0,52.43116416296332,youngmale
Male,0,No,No,24,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.55,1210.4,Yes,1-2 Year,0,0,1,2,0,1,50.22406740307313,youngmale
Male,1,No,No,24,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),54.8,1291.3,No,1-2 Year,0,1,0,2,0,1,53.580914889133815,oldmale
Male,0,No,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),78.6,5356.45,Yes,5-6 Year,1,1,0,6,1,1,77.51736896255427,youngmale
Female,0,No,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,100.3,5200.8,No,4-5 Year,1,1,0,5,1,0,97.94349914665725,youngfemale
Female,0,No,No,60,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,53.6,3237.05,No,4-5 Year,1,1,0,4,1,0,53.86106570429492,youngfemale
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.1,576.65,Yes,0-1 Year,0,0,1,2,1,0,81.21831329775529,youngfemale
Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.35,433.75,No,1-2 Year,1,1,0,1,0,1,21.57960199004975,youngfemale
Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.6,1868.4,No,1-2 Year,0,0,1,2,1,0,80.8831179400027,youngfemale
Male,0,Yes,Yes,72,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,80.8,5728.55,No,5-6 Year,1,1,0,6,1,0,79.4528405643204,youngmale
Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,825.7,Yes,0-1 Year,0,0,1,1,0,0,74.38738848711994,youngmale
Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,390.4,No,1-2 Year,1,1,0,1,0,0,18.5023693789803,youngmale
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,93.55,Yes,0-1 Year,0,0,0,3,1,0,85.04545731977983,oldmale
Male,1,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.7,2845.15,No,2-3 Year,0,1,0,3,1,0,91.48391968950965,oldmale
Female,0,No,No,57,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,69.75,3894.4,No,4-5 Year,1,1,0,5,1,0,68.20315065400612,youngfemale
Female,0,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.0,886.4,No,3-4 Year,1,1,0,1,0,1,19.654102536897174,youngfemale
Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.25,1021.55,No,0-1 Year,0,1,1,4,1,0,101.1435631478187,youngmale
Female,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.1,5885.4,Yes,4-5 Year,0,1,1,5,1,1,101.2977607976549,youngfemale
Male,0,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,268.4,No,1-2 Year,0,1,1,1,0,0,19.035460560034352,youngmale
Male,0,Yes,No,27,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,80.85,2204.35,No,2-3 Year,1,1,0,5,1,0,81.34133201683579,youngmale
Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.9,1259.0,Yes,1-2 Year,0,1,1,3,1,1,89.29078014184397,youngfemale
Female,0,Yes,Yes,12,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,29.2,309.1,Yes,0-1 Year,0,1,1,1,0,0,25.545455049877326,youngfemale
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),93.3,6398.05,No,5-6 Year,1,1,0,4,1,1,92.59116938766282,youngfemale
Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75,Yes,2-3 Year,0,1,1,4,1,1,89.95019920318724,youngfemale
Male,1,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,108.85,6287.25,Yes,4-5 Year,1,1,0,6,1,0,108.21428571428571,oldmale
Female,0,Yes,Yes,35,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),46.35,1662.05,No,2-3 Year,1,1,0,3,1,1,47.35185324296652,youngfemale
Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.75,1350.15,Yes,1-2 Year,0,0,0,2,1,0,83.86024996360636,oldfemale
Male,0,Yes,Yes,45,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),78.75,3600.65,No,3-4 Year,1,1,0,5,1,1,79.83702665950665,youngmale
Female,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,1329.15,No,1-2 Year,0,1,1,3,1,0,77.72807160316154,youngfemale
Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.7,45.7,Yes,0-1 Year,0,0,1,1,0,0,41.54545523903586,youngfemale
Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,422.5,No,1-2 Year,1,1,0,1,0,0,19.11764705882353,youngmale
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,69.95,Yes,0-1 Year,0,0,0,1,0,0,63.590906316583805,oldfemale
Male,0,Yes,Yes,67,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,67.85,4627.65,No,5-6 Year,1,1,0,5,1,0,68.96646650288749,youngmale
Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.65,6717.9,No,5-6 Year,1,1,0,5,1,1,100.11773326890835,youngfemale
Female,0,Yes,No,2,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,44.6,97.1,Yes,0-1 Year,0,0,1,2,1,0,46.23809451148623,youngfemale
Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,Yes,1-2 Year,0,0,1,1,0,0,74.04545243168289,youngmale
Female,1,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),75.5,637.4,No,0-1 Year,0,1,0,2,0,1,70.04395872682005,oldfemale
Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,117.95,No,0-1 Year,0,1,1,1,0,0,23.127450382008274,youngfemale
Male,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,No,4-5 Year,1,1,0,3,1,1,45.48151661419824,youngmale
Female,0,No,No,57,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,95.25,5464.65,Yes,4-5 Year,1,1,0,4,1,0,95.70315065400612,youngfemale
Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,89.85,2165.05,Yes,1-2 Year,0,1,1,3,1,0,89.83610161112551,youngmale
Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,100.45,4941.8,Yes,4-5 Year,1,1,0,4,1,0,100.64765386328921,youngfemale
Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,Yes,0-1 Year,0,0,1,1,0,0,43.75490076401655,youngmale
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.2,181.1,Yes,0-1 Year,0,0,1,2,1,0,86.23809814453125,youngmale
Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,87.1,341.45,Yes,0-1 Year,0,1,1,3,0,0,83.28049078220275,youngfemale
Male,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),79.25,5731.85,No,5-6 Year,1,1,0,6,1,1,81.76676316200071,youngmale
Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.9,357.75,Yes,0-1 Year,0,0,1,1,0,1,70.14705882352942,youngmale
Male,0,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.7,4616.1,No,4-5 Year,0,1,1,6,1,0,86.93220522893125,youngmale
Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.75,4533.7,Yes,3-4 Year,0,1,1,5,1,0,96.25690435907643,youngfemale
Female,0,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.1,589.25,No,2-3 Year,1,1,0,1,0,1,18.946945337620576,youngfemale
Male,0,Yes,Yes,13,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.8,750.1,No,1-2 Year,0,1,1,4,0,1,57.259540121063935,youngmale
Female,0,Yes,Yes,28,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.9,1410.25,No,2-3 Year,0,0,1,1,0,0,50.18683274021352,youngfemale
Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.45,830.85,Yes,0-1 Year,0,0,1,2,1,0,82.26237382038985,youngfemale
Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.4,743.5,No,3-4 Year,1,1,0,1,0,1,19.514435695538058,youngmale
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,45.3,Yes,0-1 Year,0,0,1,1,0,0,41.18181748823686,youngfemale
Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,104.1,7040.85,Yes,5-6 Year,1,1,0,5,1,0,104.93070190247765,youngmale
Male,0,Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,75.4,3865.45,No,4-5 Year,1,1,0,5,1,0,74.19289733535268,youngmale
Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,No,5-6 Year,1,1,0,7,1,0,109.91384705867551,youngmale
Female,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.25,1340.1,No,1-2 Year,0,1,1,3,1,0,83.23602332831909,youngfemale
Female,1,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.0,371.65,Yes,0-1 Year,0,1,0,2,0,0,72.87254782284008,oldfemale
Male,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,95.7,1184.0,No,0-1 Year,1,1,0,4,1,0,97.85123966942149,youngmale
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.85,8477.7,No,5-6 Year,1,1,0,7,1,1,117.5825269807559,youngfemale
Male,1,No,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75,7382.85,No,5-6 Year,1,1,0,5,1,1,103.83755411612167,oldmale
Female,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,456.85,No,1-2 Year,1,1,0,1,0,0,18.956431788527617,youngfemale
Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,331.6,No,1-2 Year,1,1,0,1,0,0,21.960265304868585,youngfemale
Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.6,6056.15,Yes,5-6 Year,1,1,0,4,1,1,90.25558721823771,youngmale
Male,0,No,Yes,2,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),60.95,134.6,No,0-1 Year,0,1,1,3,0,1,64.09524100167411,youngmale
Female,0,Yes,Yes,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,125.5,No,0-1 Year,0,0,1,0,0,0,24.607843137254903,youngfemale
Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.15,1390.6,Yes,1-2 Year,0,0,1,3,1,0,92.09271361496275,youngfemale
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.2,20.2,Yes,0-1 Year,0,1,1,1,0,0,18.363637057217684,youngmale
Male,0,Yes,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),60.3,2511.3,No,3-4 Year,1,1,0,4,0,1,61.102190969054135,youngmale
Female,0,No,Yes,43,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.95,2737.05,No,3-4 Year,0,1,1,4,1,0,63.50464150413283,youngfemale
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.3,74.3,No,0-1 Year,0,0,0,1,0,0,67.54545731977983,oldmale
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.6,70.6,No,0-1 Year,0,0,0,1,0,0,64.18181679465553,oldfemale
Female,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.8,2361.8,Yes,2-3 Year,0,0,1,3,1,0,90.49042332674809,youngfemale
Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,1730.35,Yes,1-2 Year,0,1,1,2,0,0,78.29637898578902,youngmale
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),90.55,6404.0,No,5-6 Year,1,1,0,7,1,1,90.07032348804502,youngmale
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.45,165.35,No,0-1 Year,1,1,0,1,0,0,23.288733254016286,youngmale
Female,1,No,No,28,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),64.45,1867.6,No,2-3 Year,0,1,0,4,0,1,66.46263258312945,oldfemale
Male,1,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,1043.3,No,1-2 Year,0,0,0,1,0,0,64.80124526882763,oldmale
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.5,128.6,No,0-1 Year,1,1,0,1,0,0,18.112676915988118,youngmale
Female,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.5,7455.45,No,5-6 Year,1,1,0,6,1,1,107.8936352433068,youngfemale
Female,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,24.7,No,0-1 Year,0,0,1,0,0,0,22.454546148126774,youngfemale
Male,0,No,No,3,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.4,206.15,No,0-1 Year,0,1,1,5,1,0,66.499998031124,youngmale
Male,1,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.8,2030.3,Yes,1-2 Year,0,1,0,4,1,1,96.22275112929502,oldmale
Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.4,5869.4,No,5-6 Year,0,1,1,3,0,1,84.94066428862158,youngfemale
Female,0,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),47.6,3377.8,No,5-6 Year,1,1,0,4,0,1,47.50773627043777,youngfemale
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.4,1346.2,No,5-6 Year,1,1,0,1,0,0,19.481909568333936,youngfemale
Female,0,No,No,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,4946.05,No,3-4 Year,0,1,1,5,1,0,102.82847826793139,youngfemale
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.35,4065.0,Yes,3-4 Year,0,1,1,3,0,1,86.30573248407643,youngmale
Female,0,No,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.4,106.55,Yes,0-1 Year,0,0,1,1,0,0,50.738096691313245,youngfemale
Male,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.45,4964.7,No,3-4 Year,0,1,1,6,1,1,110.08204424196231,youngmale
Male,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.0,4085.75,No,4-5 Year,0,1,1,2,0,1,79.9559686888454,youngmale
Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.2,1742.75,Yes,1-2 Year,0,1,1,5,1,0,78.85746606334841,youngfemale
Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.65,6224.8,No,5-6 Year,1,1,0,7,1,1,86.33564222867545,youngmale
Male,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.95,3415.25,No,3-4 Year,0,1,1,4,1,0,92.05525606469003,youngmale
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.35,6325.25,No,5-6 Year,1,1,0,7,1,0,88.96272855133616,youngmale
Male,0,Yes,Yes,7,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,48.7,340.25,Yes,0-1 Year,0,1,1,2,0,0,47.92253521126761,youngmale
Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.15,1683.6,No,5-6 Year,1,1,0,1,0,1,25.470498874219935,youngfemale
Male,0,Yes,Yes,51,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),76.4,3966.3,No,4-5 Year,1,1,0,5,1,1,77.61839625886742,youngmale
Female,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.55,608.5,No,2-3 Year,1,1,0,1,0,1,20.21594684385382,youngfemale
Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,85.35,2896.6,No,2-3 Year,0,0,1,2,1,0,84.94428438874633,youngfemale
Male,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.8,1514.85,No,5-6 Year,1,1,0,1,0,0,23.63260492333756,youngmale
Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,6792.45,No,5-6 Year,1,1,0,5,1,1,104.33871267761138,oldmale
Male,0,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,100.75,4669.2,No,3-4 Year,0,1,1,5,1,0,99.13376210854564,youngmale
Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,95.6,Yes,0-1 Year,0,0,1,4,1,0,86.90908952192827,youngfemale
Female,0,No,No,49,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.75,2934.3,Yes,4-5 Year,0,1,1,3,0,1,59.76171178876018,youngfemale
Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),94.1,6302.8,No,5-6 Year,1,1,0,4,1,1,93.93144269280924,youngfemale
Male,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.35,779.2,No,3-4 Year,1,1,0,1,0,1,19.928389059003354,youngmale
Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,283.75,No,1-2 Year,0,1,1,1,0,0,20.124113475177307,youngmale
Female,1,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,4600.7,Yes,3-4 Year,0,1,0,6,1,1,106.74478411397911,oldfemale
Male,1,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,No,4-5 Year,0,1,0,4,1,0,99.71479500891266,oldmale
Female,0,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),59.1,772.85,No,1-2 Year,1,1,0,3,1,1,54.81205500609486,youngfemale
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.35,71.35,Yes,0-1 Year,0,0,1,1,0,0,64.86363497647372,youngfemale
Male,0,Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,55.85,857.8,No,1-2 Year,1,1,0,3,0,0,53.27950234738936,youngmale
Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,No,5-6 Year,0,1,1,5,1,0,107.76105284860914,youngmale
Male,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,5981.65,No,5-6 Year,1,1,0,6,1,1,82.96324413791609,oldmale
Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,1702.9,No,1-2 Year,0,1,1,2,0,1,73.71861577550054,youngfemale
Male,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.7,467.15,No,1-2 Year,0,1,1,1,0,0,22.13981013727414,youngmale
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.15,20.15,Yes,0-1 Year,0,1,1,1,0,0,18.318181471391156,youngfemale
